STOCK,Date,D.perc_chg_x,D.MP20,D.MP50,D.MP200,D.MCo,D.RSI,D.MACD,D.per_volume_change_x,D.open_equals_high,D.open_equals_low,M.Prev_month_PerChange,M.Prev_Prev_month_PerChange,M.perc_chg_x,M.MP20,M.MP50,M.MP200,M.MCo,M.RSI,M.MACD,M.per_volume_change_x,M.open_equals_high,M.open_equals_low,W.Prev_week_PerChange,W.Prev_Prev_week_PerChange,W.perc_chg_x,W.MP20,W.MP50,W.MP200,W.MCo,W.RSI,W.MACD,W.per_volume_change_x,W.open_equals_high,W.open_equals_low,D.perc_chg_y,D.per_volume_change_y,D.PDEMA20,D.PDEMA50,D.PDSMA200,D.EMA20D50,D.EMA20D200,D.EMA50D200,D.RISING_RSI,D.RISING_LTP,D.DECLINING_RSI,D.DECLINING_LTP,D.RISING_VOLUME,D.DECLINING_VOLUME,M.perc_chg_y,M.per_volume_change_y,M.PDEMA20,M.PDEMA50,M.PDSMA200,M.EMA20D50,M.EMA20D200,M.EMA50D200,M.RISING_RSI,M.RISING_LTP,M.DECLINING_RSI,M.DECLINING_LTP,M.RISING_VOLUME,M.DECLINING_VOLUME,W.perc_chg_y,W.per_volume_change_y,W.PDEMA20,W.PDEMA50,W.PDSMA200,W.EMA20D50,W.EMA20D200,W.EMA50D200,W.RISING_RSI,W.RISING_LTP,W.DECLINING_RSI,W.DECLINING_LTP,W.RISING_VOLUME,W.DECLINING_VOLUME
APLAPOLLO,2023-02-08,0.37,DPA20,DPA50,DPA200,DBUCO,58.92,ABV BUCO,10.82,False,False,3.16,4.73,3.54,MPA20,MPA50,MPB200,MBUCO,72.17,ABV BUCO,-69.5,False,False,0.55,2.99,0.92,WPA20,WPA50,WPA200,WBUCO,58.31,ABV BUCO,-44.91,False,False,0.37,10.82,2.28,4.23,13.08,2.0,11.05,9.24,False,False,False,False,False,False,3.54,-69.5,20.8,43.33,,28.45,,,True,True,False,False,False,True,0.92,-44.91,6.07,12.96,51.74,7.34,48.63,44.56,True,True,False,False,False,False
APLLTD,2023-02-08,0.76,DPB20,DPB50,DPB200,DBECO,29.6,BLW BECO,-61.26,False,False,-2.85,-6.05,-2.11,MPB20,MPB50,MPB200,MBECO,32.35,BLW BECO,-59.39,False,False,-2.29,-0.64,-1.54,WPB20,WPB50,WPB200,WBECO,28.86,BLW BECO,-21.1,False,False,0.76,-61.26,-3.33,-7.08,-22.63,-3.63,-18.67,-14.52,False,False,False,False,False,False,-2.11,-59.39,-28.25,-32.75,,-3.51,,,False,False,True,True,False,False,-1.54,-21.1,-10.57,-22.69,-41.73,-10.96,-28.18,-15.51,False,False,True,True,False,False
APOLLOHOSP,2023-02-08,1.75,DPA20,DPB50,DPA200,DBECO,53.97,BLW BUCO,-21.6,False,False,1.4,-4.95,3.18,MPA20,MPA50,MPB200,MBUCO,56.07,ABV BECO,-73.08,False,False,1.51,0.18,3.28,WPB20,WPA50,WPA200,WBUCO,49.94,ABV BECO,-67.04,False,False,1.75,-21.6,1.45,-0.37,3.45,-1.84,2.03,3.8,False,False,False,False,False,False,3.18,-73.08,5.55,25.59,,21.22,,,False,False,False,False,False,True,3.28,-67.04,-0.27,1.38,32.4,1.64,32.58,31.45,True,True,False,False,False,False
APOLLOTYRE,2023-02-08,1.39,DPA20,DPA50,DPA200,DBUCO,56.75,ABV BUCO,-56.39,False,False,2.15,-0.96,3.56,MPA20,MPA50,MPB200,MBUCO,71.33,ABV BUCO,-54.33,False,False,-0.64,7.1,0.74,WPA20,WPA50,WPA200,WBUCO,66.17,ABV BECO,-64.53,False,False,1.39,-56.39,2.44,4.64,21.71,2.26,19.75,17.89,False,False,False,False,False,False,3.56,-54.33,23.43,31.51,,10.54,,,False,False,False,False,False,False,0.74,-64.53,9.19,19.38,40.73,11.23,34.73,26.48,True,True,False,False,False,False
APTUS,2023-02-08,-0.93,DPB20,DPB50,DPB200,DBECO,32.86,BLW BECO,60.93,True,False,-0.97,-8.54,-1.89,MPB20,MPB50,MPB200,MBECO,19.13,BLW BECO,-54.94,False,False,0.11,-2.1,-0.82,WPB20,WPB50,WPB200,WBECO,38.94,BLW BECO,-47.59,False,False,-0.93,60.93,-4.19,-7.75,-10.37,-3.41,-5.93,-2.44,False,False,True,True,True,False,-1.89,-54.94,-16.56,-24.73,,-7.01,,,False,False,True,True,False,True,-0.82,-47.59,-9.0,-13.29,,-3.94,,,False,False,True,True,False,False
ASAHIINDIA,2023-02-08,-0.04,DPA20,DPB50,DPB200,DBECO,50.68,BLW BUCO,-23.17,False,False,1.39,-2.87,1.35,MPA20,MPA50,MPB200,MBUCO,56.73,ABV BECO,-76.8,False,False,1.01,3.97,0.97,WPB20,WPB50,WPA200,WBUCO,43.33,BLW BECO,-72.44,False,False,-0.04,-23.17,1.12,-3.2,-7.24,-4.36,-8.45,-3.92,False,False,False,False,False,False,1.35,-76.8,3.87,21.94,,18.8,,,False,False,False,False,False,True,0.97,-72.44,-6.2,-3.47,33.76,2.57,37.62,35.97,True,True,False,False,False,False
ASHOKLEY,2023-02-08,-0.64,DPB20,DPA50,DPA200,DBUCO,50.61,ABV BUCO,-15.72,False,False,-0.03,4.25,-0.67,MPA20,MPA50,MPB200,MBUCO,60.22,ABV BECO,-55.47,False,False,-2.89,3.05,-3.51,WPA20,WPA50,WPA200,WBUCO,52.07,ABV BUCO,-75.07,False,False,-0.64,-15.72,-0.07,0.58,2.23,0.64,2.3,1.67,False,False,True,True,False,True,-0.67,-55.47,8.25,19.23,,11.96,,,False,False,False,False,False,False,-3.51,-75.07,0.98,4.2,28.96,3.25,28.26,25.85,False,False,False,False,False,False
ASIANPAINT,2023-02-08,0.27,DPB20,DPB50,DPB200,DBECO,37.53,BLW BUCO,10.85,False,False,1.18,-11.72,1.46,MPB20,MPA50,MPB200,MBUCO,47.95,ABV BECO,-75.8,False,False,-0.09,1.39,0.19,WPB20,WPB50,WPA200,WBECO,36.58,BLW BECO,-61.37,False,False,0.27,10.85,-1.89,-6.23,-11.7,-4.26,-9.63,-5.16,True,True,False,False,False,False,1.46,-75.8,-6.8,9.01,,14.8,,,False,False,False,False,False,False,0.19,-61.37,-8.31,-10.47,11.31,-1.99,18.11,19.71,True,True,False,False,False,False
ASTERDM,2023-02-08,1.56,DPB20,DPB50,DPB200,DBECO,44.07,BLW BUCO,-41.43,False,False,-0.33,-8.01,1.22,MPA20,MPA50,MPB200,MBUCO,54.95,ABV BUCO,-48.15,False,False,0.98,-1.2,2.55,WPB20,WPB50,WPA200,WBUCO,45.88,BLW BECO,-71.84,False,False,1.56,-41.43,-0.62,-3.74,-1.48,-3.11,-0.86,2.18,False,False,False,False,False,False,1.22,-48.15,4.88,15.34,,11.0,,,False,False,False,False,False,True,2.55,-71.84,-4.16,-0.12,23.16,3.87,26.22,23.25,False,False,False,False,False,False
ASTRAL,2023-02-08,-1.95,DPA20,DPA50,DPA200,DBUCO,51.28,ABV BUCO,128.03,False,False,1.06,4.52,-0.91,MPA20,MPA50,MPB200,MBUCO,56.98,ABV BECO,-67.58,False,False,1.01,4.61,-0.96,WPB20,WPA50,WPA200,WBUCO,50.56,ABV BECO,19.76,False,False,-1.95,128.03,0.29,0.56,3.12,0.28,2.84,2.57,False,False,True,True,False,False,-0.91,-67.58,6.24,25.1,,20.11,,,False,False,False,False,False,True,-0.96,19.76,0.52,1.42,28.77,0.91,28.4,27.74,False,False,False,False,True,False
