STOCK,Date,D.perc_chg_x,D.MP20,D.MP50,D.MP200,D.MCo,D.RSI,D.MACD,D.per_volume_change_x,D.open_equals_high,D.open_equals_low,M.Prev_month_PerChange,M.Prev_Prev_month_PerChange,M.perc_chg_x,M.MP20,M.MP50,M.MP200,M.MCo,M.RSI,M.MACD,M.per_volume_change_x,M.open_equals_high,M.open_equals_low,W.Prev_week_PerChange,W.Prev_Prev_week_PerChange,W.perc_chg_x,W.MP20,W.MP50,W.MP200,W.MCo,W.RSI,W.MACD,W.per_volume_change_x,W.open_equals_high,W.open_equals_low,D.perc_chg_y,D.per_volume_change_y,D.PDEMA20,D.PDEMA50,D.PDSMA200,D.EMA20D50,D.EMA20D200,D.EMA50D200,D.RISING_RSI,D.RISING_LTP,D.DECLINING_RSI,D.DECLINING_LTP,D.RISING_VOLUME,D.DECLINING_VOLUME,M.perc_chg_y,M.per_volume_change_y,M.PDEMA20,M.PDEMA50,M.PDSMA200,M.EMA20D50,M.EMA20D200,M.EMA50D200,M.RISING_RSI,M.RISING_LTP,M.DECLINING_RSI,M.DECLINING_LTP,M.RISING_VOLUME,M.DECLINING_VOLUME,W.perc_chg_y,W.per_volume_change_y,W.PDEMA20,W.PDEMA50,W.PDSMA200,W.EMA20D50,W.EMA20D200,W.EMA50D200,W.RISING_RSI,W.RISING_LTP,W.DECLINING_RSI,W.DECLINING_LTP,W.RISING_VOLUME,W.DECLINING_VOLUME
BAJAJFINSV,2023-02-08,1.37,DPA20,DPB50,DPB200,DBECO,46.65,BLW BUCO,-5.48,False,False,0.59,-13.27,1.97,MPB20,MPA50,MPB200,MBUCO,49.96,ABV BECO,-73.99,False,False,0.97,1.77,2.35,WPB20,WPB50,WPA200,WBECO,38.6,BLW BECO,-72.67,False,False,1.37,-5.48,0.46,-5.86,-8.43,-6.35,-8.93,-2.43,True,True,False,False,False,False,1.97,-73.99,-5.15,13.59,,17.83,,,False,False,False,False,False,False,2.35,-72.67,-9.02,-10.1,18.11,-0.99,24.89,25.62,True,True,False,False,False,False
BAJAJHLDNG,2023-02-08,0.19,DPA20,DPA50,DPA200,DBECO,56.83,ABV BUCO,-71.94,False,False,3.31,2.48,3.5,MPA20,MPA50,MPB200,MBUCO,64.17,ABV BUCO,-66.76,False,False,0.9,2.02,1.09,WPA20,WPA50,WPA200,WBUCO,52.73,ABV BECO,-61.59,False,False,0.19,-71.94,2.67,1.69,6.01,-1.01,3.43,4.4,True,True,False,False,False,False,3.5,-66.76,13.34,28.96,,18.02,,,True,True,False,False,False,True,1.09,-61.59,1.34,6.52,33.86,5.25,32.96,29.25,True,True,False,False,False,False
BAJFINANCE,2023-02-08,3.1,DPA20,DPA50,DPB200,DBECO,60.66,BLW BUCO,29.24,False,True,4.66,-10.48,7.9,MPB20,MPA50,MPB200,MBUCO,52.02,ABV BECO,-62.82,False,False,2.43,4.4,5.61,WPB20,WPB50,WPA200,WBECO,46.66,BLW BECO,-58.0,False,False,3.1,29.24,4.91,1.49,-2.95,-3.59,-8.26,-4.5,True,True,False,False,True,False,7.9,-62.82,-0.74,16.77,,17.38,,,False,False,False,False,False,False,5.61,-58.0,-1.42,-3.52,18.62,-2.07,19.76,21.39,True,True,False,False,False,False
BALAMINES,2023-02-08,1.01,DPB20,DPB50,DPB200,DBECO,27.4,BLW BECO,-44.77,False,False,-8.95,-11.92,-8.03,MPB20,MPA50,MPB200,MBUCO,44.12,ABV BECO,-53.99,False,False,-6.81,2.21,-5.87,WPB20,WPB50,WPA200,WBECO,27.83,BLW BECO,38.26,False,False,1.02,-44.77,-8.11,-17.29,-38.25,-8.49,-27.87,-17.87,False,False,False,False,False,False,-8.03,-53.99,-25.48,5.09,,24.36,,,False,False,True,True,False,False,-5.87,38.26,-23.89,-33.04,16.46,-7.38,32.57,37.21,False,False,False,False,False,False
BALKRISIND,2023-02-08,2.45,DPA20,DPA50,DPA200,DBUCO,66.47,ABV BUCO,24.13,False,False,2.37,4.23,4.88,MPA20,MPA50,MPB200,MBUCO,58.85,ABV BECO,-82.34,False,False,-0.76,7.64,1.67,WPA20,WPA50,WPA200,WBUCO,64.61,ABV BUCO,-31.33,False,False,2.45,24.13,3.97,6.88,9.82,3.03,6.09,3.15,False,False,False,False,False,False,4.88,-82.34,10.83,24.82,,15.69,,,True,True,False,False,False,False,1.68,-31.33,8.56,9.71,29.85,1.27,23.29,22.31,True,True,False,False,False,True
BALRAMCHIN,2023-02-08,-0.08,DPB20,DPB50,DPB200,DBECO,39.53,BLW BECO,-68.87,False,False,-3.95,-4.7,-4.03,MPA20,MPA50,MPB200,MBUCO,53.83,ABV BECO,-79.15,True,False,-0.68,0.44,-0.77,WPB20,WPB50,WPA200,WBECO,47.25,ABV BUCO,-28.65,False,False,-0.08,-68.87,-3.1,-3.82,-3.02,-0.7,0.08,0.77,False,False,False,False,False,False,-4.03,-79.15,2.87,22.2,,19.9,,,False,False,True,True,False,True,-0.77,-28.65,-2.5,-2.06,29.39,0.43,31.11,30.81,False,False,False,False,False,False
BANDHANBNK,2023-02-08,1.75,DPA20,DPA50,DPB200,DBUCO,50.35,BLW BECO,-20.94,False,False,-3.79,4.27,-2.11,MPB20,MPB50,MPB200,MBECO,42.04,BLW BECO,-72.62,False,False,3.18,-5.2,4.98,WPB20,WPB50,WPB200,WBECO,44.89,BLW BUCO,-39.4,False,False,1.75,-20.94,0.33,-0.61,-13.64,-0.95,-14.01,-12.95,False,False,False,False,False,True,-2.11,-72.62,-16.51,-40.16,,-20.3,,,False,False,False,False,False,True,4.98,-39.4,-2.65,-11.31,-45.97,-8.44,-42.2,-31.13,False,False,False,False,False,True
BANKBARODA,2023-02-08,-0.33,DPB20,DPB50,DPA200,DBECO,46.65,BLW BUCO,-19.01,False,False,0.42,-9.61,0.09,MPA20,MPA50,MPB200,MBUCO,66.75,ABV BUCO,-39.48,False,False,3.03,4.04,2.69,WPA20,WPA50,WPA200,WBUCO,56.56,ABV BECO,-70.32,False,False,-0.33,-19.01,-1.17,-1.87,18.7,-0.69,19.64,20.19,False,False,False,False,False,True,0.09,-39.48,24.5,32.88,,11.1,,,False,False,False,False,False,True,2.69,-70.32,3.62,17.17,44.55,14.06,42.47,33.05,True,True,False,False,False,False
BANKINDIA,2023-02-08,3.14,DPB20,DPB50,DPA200,DBECO,42.82,BLW BECO,54.98,False,False,-5.68,-6.29,-2.72,MPA20,MPA50,MPB200,MBECO,58.3,ABV BUCO,-84.14,False,False,-2.19,2.37,0.88,WPA20,WPA50,WPA200,WBUCO,55.99,ABV BECO,-76.14,False,False,3.14,54.98,-3.98,-4.03,24.43,-0.04,27.32,27.35,False,False,False,False,False,False,-2.72,-84.14,20.49,10.28,,-12.85,,,False,False,True,True,False,True,0.88,-76.14,4.66,17.86,25.05,13.84,21.39,8.76,True,True,False,False,False,False
BASF,2023-02-08,2.97,DPB20,DPB50,DPB200,DBECO,27.38,BLW BECO,-15.4,False,False,-6.24,-13.49,-3.46,MPB20,MPA50,MPB200,MBUCO,46.73,ABV BECO,-46.13,False,False,-2.53,-9.22,0.36,WPB20,WPB50,WPA200,WBECO,32.25,BLW BECO,-76.52,False,False,2.97,-15.4,-6.92,-11.73,-17.13,-4.5,-9.54,-4.83,False,False,False,False,False,True,-3.46,-46.13,-12.34,3.32,,13.94,,,False,False,True,True,False,True,0.36,-76.52,-13.41,-16.34,13.4,-2.58,23.64,25.57,False,False,False,False,False,False
BATAINDIA,2023-02-08,-0.66,DPB20,DPB50,DPB200,DBECO,36.86,BLW BUCO,139.39,False,False,-0.15,-7.26,-0.81,MPB20,MPB50,MPB200,MBUCO,43.57,ABV BECO,-81.72,False,False,-0.16,2.23,-0.82,WPB20,WPB50,WPB200,WBECO,32.19,BLW BECO,-48.6,False,False,-0.66,139.39,-2.35,-6.22,-16.32,-3.78,-13.65,-9.5,False,False,False,False,False,False,-0.81,-81.72,-13.31,-1.83,,10.13,,,False,False,True,True,False,True,-0.82,-48.6,-9.14,-14.38,-6.69,-4.79,2.25,6.72,False,False,False,False,False,True
BAYERCROP,2023-02-08,-0.23,DPB20,DPB50,DPB200,DBECO,42.64,BLW BECO,33.46,False,False,0.97,-9.88,0.73,MPB20,MPB50,MPB200,MBUCO,44.15,BLW BECO,-85.74,False,False,2.39,-2.44,2.16,WPB20,WPB50,WPB200,WBECO,40.42,BLW BECO,-11.26,False,False,-0.23,33.46,-1.27,-3.41,-9.14,-2.12,-7.77,-5.54,False,False,False,False,True,False,0.73,-85.74,-9.27,-8.01,,1.15,,,False,False,False,False,False,True,2.16,-11.26,-4.73,-7.77,-6.21,-2.91,-1.42,1.45,False,False,False,False,False,False
BBTC,2023-02-08,-0.07,DPB20,DPB50,DPB200,DBECO,47.12,BLW BUCO,29.24,False,False,2.58,-2.59,2.51,MPB20,MPB50,MPB200,MBECO,44.63,BLW BECO,-3.42,False,False,-2.03,4.5,-2.1,WPB20,WPB50,WPB200,WBECO,47.17,BLW BECO,-84.96,False,False,-0.07,29.24,-0.63,-1.79,-3.07,-1.16,-2.43,-1.25,False,False,True,True,False,False,2.51,-3.42,-8.47,-16.52,,-7.42,,,False,False,False,False,False,True,-2.1,-84.96,-1.9,-5.33,-19.43,-3.37,-17.21,-13.39,False,False,False,False,False,False
BCG,2023-02-08,-1.49,DPB20,DPB50,DPB200,DBECO,41.26,BLW BUCO,-3.32,False,False,7.2,-14.97,5.6,MPB20,MPB50,MPB200,MBUCO,45.48,ABV BECO,-43.11,False,True,-2.19,4.98,-3.65,WPB20,WPB50,WPA200,WBECO,36.85,BLW BECO,-47.89,True,False,-1.49,-3.32,-4.04,-12.33,-58.22,-7.97,-52.08,-40.86,False,False,True,True,False,False,5.6,-43.11,-50.43,-9.42,,27.26,,,False,False,False,False,False,True,-3.65,-47.89,-24.48,-56.5,10.02,-25.73,27.71,42.5,False,False,False,False,False,False
BDL,2023-02-08,-4.33,DPB20,DPB50,DPA200,DBECO,34.25,BLW BECO,28.28,False,False,-5.97,0.13,-10.04,MPA20,MPA50,MPB200,MBUCO,65.07,ABV BUCO,-43.19,False,False,-1.24,-2.76,-5.51,WPB20,WPA50,WPA200,WBUCO,46.75,ABV BECO,-18.72,False,False,-4.33,28.28,-7.36,-8.32,0.49,-0.89,7.31,8.13,False,False,True,True,True,False,-10.04,-43.19,15.95,36.26,,24.16,,,False,False,False,False,False,True,-5.51,-18.72,-5.73,5.7,46.78,10.82,49.67,43.56,False,False,True,True,False,False
BEL,2023-02-08,1.75,DPB20,DPB50,DPA200,DBECO,46.76,BLW BECO,12.21,False,False,-0.53,-4.95,1.21,MPA20,MPA50,MPB200,MBUCO,69.96,ABV BUCO,-65.25,False,False,0.64,-0.48,2.4,WPB20,WPA50,WPA200,WBUCO,47.29,ABV BECO,-85.99,False,False,1.75,12.21,-0.61,-3.42,1.44,-2.79,2.04,4.69,False,False,False,False,True,False,1.21,-65.25,13.78,32.34,,21.53,,,False,False,False,False,False,False,2.4,-85.99,-3.17,4.43,43.02,7.36,44.77,40.38,False,False,False,False,False,False
BEML,2023-02-08,1.97,DPB20,DPB50,DPB200,DBECO,40.92,BLW BECO,-5.97,False,False,-11.11,4.87,-9.36,MPB20,MPA50,MPB200,MBUCO,50.01,ABV BECO,-50.45,False,False,-0.4,-5.11,1.55,WPB20,WPB50,WPA200,WBECO,44.11,BLW BECO,-83.85,False,False,1.97,-5.97,-3.43,-5.4,-5.94,-1.9,-2.42,-0.51,True,True,False,False,False,True,-9.36,-50.45,-3.65,5.64,,8.96,,,False,False,False,False,False,True,1.55,-83.85,-5.83,-6.99,17.61,-1.09,22.15,22.99,False,False,False,False,False,False
BERGEPAINT,2023-02-08,0.14,DPA20,DPB50,DPB200,DBECO,49.34,BLW BUCO,-18.1,False,False,2.42,-5.54,2.57,MPB20,MPB50,MPB200,MBUCO,43.25,BLW BECO,-53.94,False,False,0.74,3.48,0.89,WPB20,WPB50,WPB200,WBECO,40.43,BLW BECO,-64.81,False,False,0.14,-18.1,0.44,-2.15,-8.76,-2.6,-9.24,-6.48,False,False,False,False,False,True,2.57,-53.94,-12.49,-3.17,,8.28,,,False,False,False,False,False,True,0.89,-64.81,-4.21,-11.06,-7.99,-6.58,-3.63,2.76,True,True,False,False,False,False
BHARATFORG,2023-02-08,0.03,DPB20,DPB50,DPA200,DBUCO,48.8,BLW BUCO,-9.28,False,False,-0.91,-0.65,-0.88,MPA20,MPA50,MPB200,MBUCO,65.77,ABV BUCO,-67.14,False,False,-0.16,1.45,-0.13,WPA20,WPA50,WPA200,WBUCO,58.24,ABV BECO,-64.46,False,False,0.03,-9.28,-0.32,0.5,11.88,0.81,12.16,11.44,False,False,False,False,False,True,-0.88,-67.14,13.55,23.85,,11.92,,,False,False,True,True,False,True,-0.13,-64.46,3.5,9.72,31.47,6.45,28.98,24.09,False,False,False,False,False,False
BHARATRAS,2023-02-08,-0.78,DPB20,DPB50,DPB200,DBECO,22.58,BLW BECO,28.51,False,False,-2.55,-6.97,-3.31,MPB20,MPB50,MPB200,MBUCO,41.68,ABV BECO,-58.67,False,False,-0.78,-0.91,-1.55,WPB20,WPB50,WPB200,WBECO,27.38,BLW BECO,1.01,False,False,-0.78,28.51,-3.83,-8.06,-24.6,-4.07,-20.01,-15.31,False,False,True,True,True,False,-3.31,-58.67,-20.06,-4.99,,12.55,,,False,False,True,True,False,True,-1.55,1.01,-12.41,-21.16,-4.32,-7.78,7.2,13.9,False,False,True,True,False,False
BHARTIARTL,2023-02-08,-1.37,DPB20,DPB50,DPA200,DBECO,44.84,BLW BUCO,141.15,False,False,2.03,-4.44,0.62,MPA20,MPA50,MPB200,MBUCO,60.74,ABV BECO,-79.73,False,False,-0.88,2.38,-2.24,WPB20,WPA50,WPA200,WBUCO,48.63,ABV BECO,-38.41,False,False,-1.37,141.15,-0.84,-2.26,2.91,-1.41,3.71,5.05,False,False,True,True,True,False,0.62,-79.73,7.49,21.81,,15.49,,,False,False,False,False,False,False,-2.24,-38.41,-1.56,2.95,26.55,4.44,27.68,24.32,False,False,False,False,False,False
BHEL,2023-02-08,1.26,DPB20,DPB50,DPA200,DBECO,45.19,BLW BECO,-6.4,False,False,-4.21,-1.01,-3.0,MPA20,MPA50,MPB200,MBUCO,59.99,ABV BUCO,-69.71,False,False,0.2,2.32,1.47,WPA20,WPA50,WPA200,WBUCO,54.67,ABV BECO,-61.56,False,False,1.33,-6.4,-1.44,-1.92,17.29,-0.47,18.47,18.85,True,True,False,False,False,True,-2.93,-69.71,16.8,19.58,,3.33,,,False,False,True,True,False,True,1.53,-61.56,2.71,12.75,31.72,10.32,29.82,21.74,True,True,False,False,False,False
BIOCON,2023-02-08,2.67,DPA20,DPB50,DPB200,DBECO,46.71,BLW BUCO,142.1,False,False,1.15,-10.23,3.85,MPB20,MPB50,MPB200,MBECO,34.84,BLW BECO,-63.7,False,False,1.93,-0.96,4.65,WPB20,WPB50,WPB200,WBECO,34.35,BLW BECO,-33.25,False,False,2.67,142.1,0.02,-4.54,-21.28,-4.56,-21.31,-16.01,False,False,False,False,False,False,3.85,-63.7,-26.34,-29.51,,-2.51,,,False,False,False,False,False,True,4.65,-33.25,-8.78,-21.34,-38.41,-11.54,-27.23,-14.07,False,False,False,False,False,True
BIRLACORPN,2023-02-08,0.8,DPB20,DPB50,DPB200,DBECO,40.77,BLW BECO,39.87,False,False,-0.38,-7.57,0.41,MPB20,MPB50,MPB200,MBUCO,45.78,BLW BECO,-58.43,False,False,-2.79,2.88,-2.01,WPB20,WPB50,WPA200,WBECO,43.58,BLW BECO,-22.96,False,False,0.8,39.87,-2.46,-4.71,-5.81,-2.19,-3.27,-1.05,True,True,False,False,False,False,0.41,-58.43,-10.31,-3.98,,5.74,,,False,False,False,False,False,True,-2.01,-22.96,-5.13,-10.31,3.74,-4.93,8.43,12.73,False,False,False,False,False,False
BLUEDART,2023-02-08,-0.54,DPB20,DPB50,DPB200,DBECO,39.54,BLW BECO,-62.73,False,False,3.98,-18.04,3.41,MPB20,MPA50,MPB200,MBUCO,50.67,ABV BECO,-45.32,False,False,7.83,-7.14,7.25,WPB20,WPB50,WPA200,WBECO,37.56,BLW BECO,-60.97,False,False,-0.54,-62.73,-2.88,-9.21,-18.75,-6.15,-15.43,-8.74,False,False,False,False,False,False,3.41,-45.32,-4.47,14.45,,18.11,,,False,False,False,False,False,True,7.25,-60.97,-12.41,-12.48,26.55,-0.06,34.66,34.7,False,False,False,False,False,False
BLUESTARCO,2023-02-08,0.2,DPA20,DPA50,DPA200,DBUCO,76.17,ABV BUCO,-37.86,False,False,11.6,2.45,11.82,MPA20,MPA50,MPB200,MBUCO,68.57,ABV BUCO,-41.29,False,True,0.98,9.98,1.17,WPA20,WPA50,WPA200,WBUCO,70.88,ABV BUCO,-82.51,False,False,0.2,-37.86,6.56,9.33,19.16,2.97,13.49,10.84,True,True,False,False,False,True,11.82,-41.29,22.05,33.28,,14.41,,,True,True,False,False,False,True,1.17,-82.51,11.2,17.99,37.73,7.64,29.88,24.08,True,True,False,False,False,False
BORORENEW,2023-02-08,0.31,DPB20,DPB50,DPB200,DBECO,42.79,BLW BUCO,-32.06,False,False,0.27,-6.24,0.59,MPB20,MPA50,MPB200,MBUCO,51.9,ABV BECO,40.67,False,False,-5.04,8.37,-4.75,WPB20,WPB50,WPA200,WBECO,40.25,BLW BECO,-83.31,False,False,0.31,-32.06,-2.15,-5.45,-20.63,-3.24,-18.09,-14.39,False,False,False,False,False,True,0.59,40.67,-3.69,19.83,,22.69,,,False,False,False,False,False,False,-4.75,-83.31,-8.96,-12.33,33.7,-3.09,39.15,40.98,False,False,False,False,False,False
BOSCHLTD,2023-02-08,0.19,DPA20,DPA50,DPA200,DBUCO,59.08,ABV BUCO,59.05,False,False,2.27,-1.36,2.46,MPA20,MPA50,MPB200,MBECO,56.19,ABV BUCO,-73.27,False,False,-0.0,4.31,0.18,WPA20,WPA50,WPA200,WBUCO,57.95,ABV BECO,-53.36,False,False,0.19,59.05,1.64,2.15,7.44,0.52,5.9,5.4,False,False,False,False,False,False,2.46,-73.27,7.64,6.65,,-1.07,,,False,False,False,False,False,True,0.18,-53.36,3.21,6.26,15.29,3.15,12.48,9.64,True,True,False,False,False,False
BPCL,2023-02-08,0.62,DPB20,DPB50,DPA200,DBUCO,46.03,BLW BECO,-28.26,False,False,-3.23,3.86,-2.64,MPB20,MPB50,MPB200,MBECO,45.84,BLW BECO,-72.02,False,False,1.67,-2.93,2.3,WPA20,WPB50,WPB200,WBECO,51.41,ABV BUCO,-73.45,False,True,0.62,-28.26,-1.17,-0.46,2.25,0.7,3.38,2.71,False,False,False,False,False,True,-2.64,-72.02,-5.72,-14.49,,-8.29,,,False,False,False,False,False,True,2.3,-73.45,1.06,-1.85,-17.54,-2.94,-18.8,-15.41,False,False,False,False,False,False
BRIGADE,2023-02-08,1.88,DPA20,DPA50,DPA200,DBUCO,70.63,ABV BUCO,96.5,False,False,6.92,-1.25,8.94,MPA20,MPA50,MPB200,MBUCO,64.13,ABV BECO,-67.76,False,False,2.6,6.12,4.53,WPA20,WPA50,WPA200,WBECO,55.16,BLW BECO,-40.89,False,False,1.88,96.5,6.44,6.22,4.3,-0.23,-2.29,-2.05,True,True,False,False,True,False,8.94,-67.76,11.4,30.48,,21.53,,,False,False,False,False,False,True,4.53,-40.89,4.59,6.03,38.26,1.51,35.29,34.3,True,True,False,False,False,False
BRITANNIA,2023-02-08,-0.26,DPA20,DPA50,DPA200,DBUCO,65.84,ABV BUCO,-22.73,False,False,6.7,0.24,6.42,MPA20,MPA50,MPB200,MBUCO,67.06,ABV BUCO,-32.2,False,False,-0.48,5.67,-0.74,WPA20,WPA50,WPA200,WBUCO,73.5,ABV BUCO,-75.37,False,False,-0.26,-22.73,3.07,5.33,16.01,2.34,13.35,11.27,False,False,True,True,False,False,6.42,-32.2,15.96,24.24,,9.85,,,True,True,False,False,False,True,-0.74,-75.37,8.01,14.1,24.69,6.62,18.14,12.33,False,False,False,False,False,False
BSE,2023-02-08,-1.4,DPB20,DPB50,DPB200,DBECO,27.32,BLW BECO,71.35,False,False,-3.87,-5.77,-5.21,MPB20,MPA50,MPB200,MBUCO,47.79,ABV BECO,-64.92,False,False,-1.3,-2.49,-2.68,WPB20,WPB50,WPA200,WBECO,31.16,BLW BECO,-41.01,False,False,-1.4,71.35,-5.85,-10.72,-28.98,-4.6,-21.86,-16.49,False,False,True,True,False,False,-5.21,-64.92,-12.22,10.8,,20.51,,,False,False,True,True,False,True,-2.68,-41.01,-14.92,-21.31,25.96,-5.56,35.57,38.97,False,False,True,True,False,False
BSOFT,2023-02-08,3.56,DPB20,DPB50,DPB200,DBECO,48.28,BLW BECO,87.66,False,False,-8.03,1.07,-4.75,MPB20,MPA50,MPB200,MBUCO,45.84,ABV BECO,-21.43,False,False,3.7,-7.94,7.39,WPB20,WPB50,WPA200,WBECO,45.36,BLW BUCO,-65.37,False,False,3.58,87.66,-0.59,-1.94,-11.65,-1.34,-10.99,-9.52,False,False,False,False,False,False,-4.74,-21.43,-13.0,3.94,,15.0,,,False,False,False,False,False,True,7.41,-65.37,-3.14,-13.34,14.98,-9.89,17.57,24.99,False,False,False,False,False,False
CAMPUS,2023-02-08,0.16,DPB20,DPB50,DPB200,DBECO,35.68,BLW BECO,-32.86,True,False,-5.23,-5.2,-5.08,MPB20,MPB50,MPB200,MBUCO,24.33,ABV BECO,-81.86,False,False,-2.04,-4.13,-1.89,WPB20,WPB50,WPB200,WBUCO,40.43,BLW BECO,-31.18,False,False,0.16,-32.86,-3.94,-10.44,,-6.25,,,True,True,False,False,False,True,-5.08,-81.86,-11.08,-5.38,,5.13,,,False,False,True,True,False,True,-1.89,-31.18,-15.02,-12.68,,2.04,,,False,False,True,True,False,True
CAMS,2023-02-08,0.05,DPB20,DPA50,DPB200,DBUCO,48.96,ABV BECO,-58.41,False,False,-0.85,2.62,-0.8,MPB20,MPA50,MPB200,MBUCO,54.68,ABV BECO,-75.6,False,False,-0.2,-1.25,-0.15,WPB20,WPB50,WPB200,WBECO,44.57,BLW BECO,-37.16,False,False,0.05,-58.41,-0.2,-0.66,-3.93,-0.47,-3.72,-3.24,True,True,False,False,False,False,-0.8,-75.6,-4.52,7.97,,11.95,,,False,False,False,False,False,True,-0.15,-37.16,-2.29,-5.66,,-3.3,,,False,False,True,True,False,True
CANBK,2023-02-08,0.29,DPB20,DPB50,DPA200,DBECO,42.75,BLW BECO,-10.01,False,False,-3.03,-8.81,-2.75,MPA20,MPA50,MPB200,MBUCO,60.89,ABV BUCO,-67.08,False,False,-0.59,1.89,-0.3,WPA20,WPA50,WPA200,WBUCO,54.15,ABV BECO,-73.08,False,False,0.31,-10.01,-2.77,-3.65,14.27,-0.85,16.58,17.29,True,True,False,False,False,True,-2.73,-67.08,18.08,23.32,,6.39,,,False,False,True,True,False,True,-0.29,-73.08,1.03,12.13,36.2,11.21,35.53,27.39,False,False,False,False,False,False
CANFINHOME,2023-02-08,2.04,DPA20,DPA50,DPA200,DBUCO,62.58,ABV BUCO,125.28,False,False,2.16,6.07,4.25,MPA20,MPA50,MPB200,MBUCO,53.67,ABV BECO,-63.96,False,False,0.29,7.12,2.34,WPA20,WPA50,WPA200,WBECO,58.06,ABV BUCO,-58.36,False,False,2.04,125.28,5.52,7.35,9.99,1.94,4.73,2.85,False,False,False,False,False,False,4.25,-63.96,7.45,12.88,,5.87,,,True,True,False,False,False,False,2.34,-58.36,7.88,7.54,18.59,-0.37,11.62,11.95,True,True,False,False,False,True
CAPLIPOINT,2023-02-08,-0.07,DPA20,DPB50,DPB200,DBECO,50.13,BLW BUCO,-28.54,True,False,1.87,-2.85,1.8,MPA20,MPA50,MPB200,MBUCO,51.82,ABV BECO,-74.8,False,False,1.8,1.15,1.73,WPB20,WPB50,WPA200,WBECO,45.36,BLW BECO,-27.51,False,False,-0.07,-28.54,0.49,-1.23,-4.44,-1.72,-4.95,-3.17,False,False,False,False,False,False,1.8,-74.8,0.37,10.51,,10.18,,,False,False,False,False,False,True,1.73,-27.51,-2.13,-3.55,19.16,-1.39,20.84,21.93,True,True,False,False,False,True
CARBORUNIV,2023-02-08,-0.14,DPA20,DPA50,DPA200,DBUCO,71.69,ABV BUCO,-32.15,False,False,3.72,11.16,3.58,MPA20,MPA50,MPB200,MBUCO,71.23,ABV BUCO,-69.64,False,False,1.78,5.68,1.64,WPA20,WPA50,WPA200,WBUCO,70.24,ABV BUCO,-73.0,False,False,-0.14,-32.15,5.04,8.94,18.36,4.11,14.03,10.35,False,False,False,False,False,False,3.58,-69.64,20.12,36.95,,21.07,,,True,True,False,False,False,False,1.64,-73.0,11.5,16.66,45.48,5.83,38.4,34.58,True,True,False,False,False,False
CASTROLIND,2023-02-08,0.46,DPB20,DPB50,DPA200,DBECO,46.32,BLW BUCO,-37.72,False,False,1.32,-4.3,1.78,MPB20,MPB50,MPB200,MBECO,48.13,BLW BUCO,-72.22,False,False,2.49,-2.47,2.96,WPB20,WPA50,WPB200,WBUCO,49.33,ABV BECO,-54.15,False,False,0.46,-37.72,-0.31,-2.09,3.11,-1.78,3.41,5.1,True,True,False,False,False,False,1.78,-72.22,-0.53,-10.04,,-9.45,,,False,False,False,False,False,True,2.96,-54.15,-1.01,0.23,-4.85,1.23,-3.8,-5.09,False,False,False,False,False,False
CCL,2023-02-08,2.04,DPA20,DPA50,DPA200,DBUCO,54.83,ABV BUCO,1.29,False,False,-0.9,2.53,1.11,MPA20,MPA50,MPB200,MBUCO,69.31,ABV BUCO,-68.47,False,False,-5.45,10.2,-3.52,WPA20,WPA50,WPA200,WBUCO,61.12,ABV BECO,-58.9,False,False,2.04,1.29,1.97,3.87,16.3,1.94,14.62,12.93,False,False,False,False,True,False,1.11,-68.47,18.19,32.32,,17.27,,,True,True,False,False,False,True,-3.52,-58.9,6.78,14.54,40.94,8.33,36.64,30.89,False,False,False,False,False,False
CDSL,2023-02-08,-1.14,DPB20,DPB50,DPB200,DBECO,24.16,BLW BECO,87.43,False,False,-3.89,-6.6,-4.99,MPB20,MPA50,MPB200,MBUCO,46.34,ABV BECO,-61.0,False,False,-0.87,-0.49,-2.0,WPB20,WPB50,WPA200,WBECO,29.68,BLW BECO,-35.02,False,False,-1.14,87.43,-5.14,-10.94,-19.09,-5.52,-13.27,-7.34,False,False,True,True,True,False,-4.99,-61.0,-13.33,11.95,,22.31,,,False,False,True,True,False,True,-2.0,-35.02,-14.0,-19.47,22.43,-4.8,31.96,35.07,False,False,True,True,False,False
CEATLTD,2023-02-08,-0.51,DPB20,DPB50,DPA200,DBECO,41.05,BLW BUCO,-27.05,True,False,-1.8,-4.22,-2.3,MPA20,MPA50,MPB200,MBUCO,55.9,ABV BUCO,-86.7,False,False,-0.21,0.3,-0.72,WPB20,WPA50,WPA200,WBUCO,49.02,ABV BECO,-52.89,False,False,-0.51,-27.05,-3.03,-5.87,8.67,-2.76,11.35,13.73,False,False,True,True,False,True,-2.3,-86.7,10.76,14.54,,4.24,,,False,False,True,True,False,True,-0.72,-52.89,-3.58,5.65,24.51,8.92,27.12,19.99,False,False,False,False,False,False
CENTRALBK,2023-02-08,1.66,DPB20,DPB50,DPA200,DBECO,37.74,BLW BECO,10.27,False,False,-9.82,-6.53,-8.32,MPA20,MPB50,MPB200,MBECO,57.37,ABV BUCO,-80.65,False,False,-2.69,-2.45,-1.08,WPA20,WPA50,WPA200,WBUCO,53.76,ABV BECO,-55.8,False,False,1.66,10.27,-6.81,-6.57,19.21,0.22,24.35,24.19,False,False,False,False,False,False,-8.32,-80.65,17.62,-3.0,,-25.03,,,False,False,True,True,False,True,-1.08,-55.8,1.82,13.98,29.2,12.39,27.88,17.69,False,False,True,True,False,False
