,Annualized Mean,Annualized Vol,Sharpe Ratio,Skewness,Kurtosis
SPY,0.09826935254301185,0.15106969877735552,0.6504901600938511,-0.5938686407341812,16.92695245380865
EWU,0.03880841210363828,0.17197160866918473,0.22566755294062843,-1.1660379933232214,17.586031492970765
EWJ,0.046638907865531404,0.15810369109821662,0.2949893676837598,-0.5220769896410827,7.870142191629747
EWG,0.04198121724593679,0.1997195138446046,0.21020087841091503,-0.7443915221036633,12.222511741339638
EWQ,0.040957733564909074,0.20233736573947178,0.20242298507358236,-0.7962400064233807,12.9760204686485
EWC,0.04710515356478833,0.16689427181922126,0.28224547823793683,-0.9213632357247189,22.309073441729804
EWL,0.072522587598167,0.19221055297822393,0.37730804305205495,-0.5595235956334197,10.088432585803869
EWA,0.03403344276601383,0.20752101620438154,0.16399998124765958,-0.8074535349022633,20.67710263473196
EWN,0.06351485652184544,0.1939234117699878,0.32752546967965007,-0.4329839496959066,8.774199168189298
EWD,0.05650057066327633,0.22208120027994133,0.25441401880057984,-0.5683495609270007,9.103436055635907
