,SPY,EWU,EWJ,EWG,EWQ,EWC,EWL,EWA,EWN,EWD
2021-01-04,0.586693329082258,0.056860275077618073,0.07415519761217917,0.05838865823380349,0.0427514365835398,0.03817519964694297,0.03950330603971839,0.030397537331407338,0.03665083958805776,0.03642422080447505
2021-01-05,0.599488095111299,0.05617230513451513,0.07719091610496126,0.05507711125563058,0.05470144623413675,0.03537914970372646,0.043402292001240385,0.03011734217194325,0.027571815726060392,0.020899526556486702
2021-01-06,0.5900791477011756,0.04502825372917544,0.076125791107514,0.04517263195211867,0.059826699865792754,0.04131638595507197,0.04655551586626528,0.031024971877983434,0.04676974809873393,0.018100853846168986
2021-01-07,0.5880863366110657,0.059999448414781414,0.08164743420252119,0.05103452728832454,0.046926571999192694,0.03664518476873911,0.042167269182067604,0.03319341597970639,0.03265514502098219,0.027644666532619096
2021-01-08,0.6007709429313937,0.05974609125945834,0.07555488773507686,0.06029693962403088,0.04673260579158116,0.03972697262282272,0.04178849452554279,0.0294069682017529,0.024309816167803713,0.021666281140536994
2021-01-11,0.597659406784895,0.058646492125572894,0.0801685468211324,0.047312776131117236,0.049840171951480224,0.03999264566467839,0.04449212559770931,0.027528033653017023,0.031694409506846315,0.02266539176355129
2021-01-12,0.5977658139459149,0.05715981597911592,0.07999917126143218,0.047880264444056936,0.0506710959955186,0.03932081187388866,0.039146110757357834,0.030068489828308023,0.03228343886305753,0.02570498705134957
2021-01-13,0.5967577268494147,0.05946407408716128,0.07950280189618951,0.04987283369885931,0.04970524745598709,0.039781200138383155,0.039600286449334623,0.02975593387211808,0.03248810963436388,0.023071785918188356
2021-01-14,0.5946357213394008,0.05928080227667425,0.07864074070790827,0.05038247879657848,0.049893037187893396,0.039287705533357246,0.04063046919187837,0.029585863796660016,0.03300605723462124,0.02465712393502799
2021-01-15,0.6020117339193909,0.05791686797571965,0.07232909948114365,0.042921798545296506,0.053101535345050466,0.03891016449164193,0.04443295460305213,0.03211705960680993,0.02942330202770956,0.02683548400418525
2021-01-19,0.5928996281698203,0.0615968589639012,0.07835487479984893,0.04699298843057754,0.0529184405358612,0.039721223517260276,0.04466902704039672,0.02965399467120675,0.02974871095318103,0.023444252917945767
2021-01-20,0.5876300217938427,0.061421167248958145,0.07929002583746818,0.040711095162626026,0.059219367289675466,0.03949210349439106,0.040472590261383626,0.02825030893831226,0.04017543607067447,0.023337883902668007
2021-01-21,0.5958675215099356,0.059619289293903935,0.07967372336244608,0.0493831278945368,0.050355120145910225,0.03981910242405945,0.039909791124527666,0.029717773101279765,0.03259790388080554,0.023056647262594907
2021-01-22,0.5956796556737279,0.057736934644822234,0.08019779992030479,0.051748481061411174,0.048821911285287005,0.03760216684486776,0.041283547760469406,0.030020781921105837,0.031673480861133516,0.0252352400268704
2021-01-25,0.5983288465415865,0.05796654134774893,0.07973522919378834,0.04817209468131466,0.053522991761202926,0.03847157270600105,0.04223836300918696,0.029920551840303927,0.02943674266015918,0.022207066258707664
2021-01-26,0.5889303791016409,0.053908080212580256,0.0848592871806427,0.0432179336559551,0.048032768372099924,0.03703957508638332,0.027574758064100254,0.02908304157012404,0.05113888265747293,0.036215294099000706
2021-01-27,0.6093773993830406,0.06727894064374944,0.06968301196395174,0.0681095324815498,0.0481651855016059,0.02672409946452107,0.06381702829971792,0.03184791919538424,-0.02091366834050086,0.03591055140698021
2021-01-28,0.5980438800846273,0.06454842868920349,0.07979626589503162,0.06407028664201046,0.03537186830096106,0.035891332374516756,0.044844753562590635,0.029958631150389305,0.015920554047071486,0.031553999253597934
2021-01-29,0.6076623687612519,0.04529266135684161,0.06933191975941261,0.06679395848748557,0.046902710067761685,0.04384166143292385,0.017854816196325732,0.029996734277565947,0.032689699966376246,0.0396334696940548
2021-02-01,0.5923219557545044,0.056208251476354054,0.08602616899516624,0.06349863470389572,0.04233964668636789,0.039805194210887775,0.04646931896556066,0.03189678792511867,0.025297938037007466,0.016136103245137316
2021-02-02,0.5955292625249786,0.06203608300243065,0.08136642905247814,0.04552150658561049,0.046896714636781765,0.03672076616717599,0.03914500409526137,0.03166000960789723,0.037804978811624805,0.023319245515760954
2021-02-03,0.596851951555666,0.054744473373356216,0.083512717611548,0.04757934083949289,0.04298898606766612,0.0391187087962309,0.03220075095967809,0.028454890657353068,0.03686236436436178,0.03768581577464704
2021-02-04,0.5913851551262517,0.05642595280472945,0.08059931778201905,0.051347498420123705,0.047123875519001865,0.038519428108650895,0.045017526870572616,0.028688220539181693,0.03178025907733959,0.029112765752129323
2021-02-05,0.5946721636466658,0.059763471077372524,0.07941074427628964,0.053034579526717016,0.044445568714050566,0.039255780933873406,0.04153198690300155,0.02897832284928356,0.033562246366604404,0.025345135706141445
2021-02-08,0.5964946609358536,0.06290041160265483,0.0753089711307933,0.05680599902289395,0.04486447823658766,0.037020483228736134,0.04180777908432647,0.030876798830447118,0.030546551841989015,0.02337386608571801
2021-02-09,0.5987749496460547,0.05987320568037486,0.07799035589317377,0.048969184001681924,0.04929719314463398,0.039043382748807254,0.039488580438606966,0.02959681389740202,0.03217190033913155,0.02479443421013297
2021-02-10,0.5936210732718107,0.06023378993823639,0.07962705196064006,0.04985355942406417,0.04697517956553137,0.040619539825535934,0.03877421563551459,0.029741811390340992,0.035507507312647874,0.02504627167567795
2021-02-11,0.5992582235104191,0.062168358179559374,0.07572746011136637,0.05015401244761261,0.05129711211115312,0.038883432788722895,0.03886280401585689,0.030208431437099392,0.02947242072531589,0.02396774467289426
2021-02-12,0.5928890220824576,0.053585603365047745,0.08035677820710313,0.05530263002265936,0.04857841927205325,0.039185367153707414,0.042687509608939994,0.031010834138215218,0.02910454986312241,0.027299286286693748
2021-02-16,0.5951728264598111,0.05524150997918415,0.07982811274839435,0.0527998921908381,0.048473466124262246,0.0395825955809019,0.03977304189108088,0.02997028423684013,0.03272430680049189,0.026433963988195294
2021-02-17,0.5964235876430154,0.05955805134250122,0.08459107856952294,0.04820448415949989,0.04745115514502695,0.03985782240603882,0.03381093519919455,0.02945551964257149,0.0355122429118742,0.0251351229807545
2021-02-18,0.595303279186785,0.057946292744509575,0.07410550778585291,0.05791109129635566,0.04729062217003403,0.03897366994050388,0.042781783627054426,0.030826604330044353,0.02844517984993548,0.02641596906892467
2021-02-19,0.5931259574325568,0.059160256814270236,0.08056356543436755,0.05064427994666179,0.04916643335710256,0.038944532118852196,0.04158556234125481,0.030122697272487675,0.034009059385503866,0.022677655896942463
2021-02-22,0.5949333119530585,0.05738273109387142,0.08241441171426575,0.052773679111418136,0.04847396797450682,0.03985545663740382,0.03701045507625918,0.03131922554164136,0.03344054273672247,0.022396218160852525
2021-02-23,0.5696451153240328,0.05734108223210769,0.09439516432755053,0.046991685746643905,0.046650290906697214,0.015695521381847384,0.07699840969020433,0.02283229770663547,0.04073267450205879,0.028717758182221918
2021-02-24,0.618447751745628,0.06218923384087855,0.06035028541305479,0.0454526837370833,0.06518420463763341,0.03212086526642576,0.051568744742745566,0.013306357533918888,0.027570605485316868,0.023809267597314946
2021-02-25,0.598102736010389,0.0530647793494361,0.06811377728310533,0.06074680565544787,0.0659407428983857,0.034296332584101565,0.047659827378227416,0.03567186538829573,0.008584891641845503,0.02781824181076586
2021-02-26,0.6337844084161512,0.09418698071716612,0.11381467521735156,0.0318012394170095,0.011145275769937825,0.045322799961067396,0.031955983087924286,-0.021105118487299453,0.04112183049664277,0.017971925404048704
2021-03-01,0.5895736190789388,0.06657732501816677,0.07135492111062858,0.06197620143192605,0.05642306112216,0.03951285055102112,0.055107422023315034,0.029250917896502002,0.027663896952950868,0.0025597848143907183
2021-03-02,0.6477328279782181,0.02568419219915499,0.06890166472030848,0.016666631481940468,0.09169138737791457,0.03723833932586002,0.039728114199815506,0.006976878265738323,0.038950506600500284,0.026429457850549242
2021-03-03,0.6395722659034336,0.07429491833493258,0.08622431316447172,0.062115760669749165,0.0460022386590802,0.03483976497814527,0.008833043711461298,0.017699088132102473,0.015994936266678958,0.014423670179944633
2021-03-04,0.6261347165341363,0.11894937823011836,0.06418064852040416,0.04591347147876105,0.059220389477021164,0.0070401525975704714,0.09344673223481627,-0.0017593821810516028,0.012895427187199486,-0.02602153407897581
2021-03-05,0.6133640590246567,0.03979818044761981,0.06732168265092434,0.04819007801692745,0.0766377214684257,0.0091533574716874,0.053756176008754326,0.022973468329036045,0.02197438998113644,0.046830886600831796
2021-03-08,0.601202398160978,0.059723211881862893,0.07446949234560228,0.035612156601214306,0.07034004634156045,0.044452281860548344,0.04062138095521349,0.026233187314725567,0.032810712966986164,0.014535131571308438
2021-03-09,0.481082362857019,0.11207850142681854,0.043378264185178095,0.006342666849574431,0.05154043385843544,0.22942271256404928,0.032797223328964155,0.026630315316688035,0.1112655565681578,-0.09453803695488466
2021-03-10,0.6334953511844527,0.049785685035993885,0.08366630353612045,0.042054087337285655,0.048015373556007226,-0.020722078511070656,0.07185927827959514,0.079682323328681,-0.007881879045930294,0.02004555529886501
2021-03-11,0.5651406931803983,0.08017546335558755,0.06335096048741692,0.026122035763171753,0.06840628858767629,0.008333582599235485,0.07619944347011513,0.050845547255709125,0.06636501498865155,-0.004939029687962131
2021-03-12,0.2920470120650829,-0.19324188991339147,0.2858928090093404,0.1848618573723508,0.08359203293967624,0.22159222474616314,0.26288228544687137,-0.01600845987390373,-0.03126908112588706,-0.09034879066630262
2021-03-15,0.5856788770955336,-0.4039317365296321,0.0348620521972285,-0.16132656602160475,0.3597806569598628,0.1591534802808893,0.26241697631393,0.19654058762121585,-0.17730299739346492,0.1441286694760416
2021-03-16,0.5009679272778546,-0.11475867703527384,-0.04208008474259517,-0.07213020499588996,0.3210828812468263,0.061849992780670424,0.27019675992943715,0.14328054256218617,-0.03060598040316236,-0.03780315662005337
2021-03-17,0.7162228089466286,0.03587580415468415,0.1256146453549695,0.0014415385250209657,0.11034191646106266,-0.22275874943176593,0.13523696042691127,0.09683159302733514,-0.09388197834403646,0.09507546087919005
2021-03-18,0.5888851608821115,0.16807732573171894,-0.06257307667693061,0.06086625469627654,0.015402968640396107,-0.088611554932909,-0.07074399624170546,0.1966246818787484,0.1157698426288814,0.07630239339341212
2021-03-19,0.5778168096126426,0.058921619661051465,0.08398122211685663,0.03876382838419429,0.04210093928456784,0.047918843726667916,0.05317668863227148,0.029421262124444424,0.04344102141615876,0.024457765041144705
