,Equal Weight,Market Cap,Classical MV,BL Equilibrium,BL Momentum
Ann. Return,0.06764269720356483,0.10098715722132016,2.1702331221771325,0.1030939027686352,0.1478540706965035
Ann. Vol,0.18464102309671518,0.16998027109011915,4.317405760499641,0.16792387521592664,0.39441664868402065
Sharpe,0.3663470666978135,0.5941110493215968,0.5026706412523936,0.6139323704629306,0.37486772221665005
Max Drawdown,-0.3819176869022045,-0.36240300462513253,-8.5030186654153,-0.3410040941062934,-0.7350497164132876
Total Return,1.1576557481845473,2.733097684784296,-2.4576324295159773,2.8762982764956297,2.1290165066174196
