,SPY,EWU,EWJ,EWG,EWQ,EWC,EWL,EWA,EWN,EWD
2021-01-04,0.6746060200151822,0.06538796872907522,0.08526653256583382,0.06715307017333237,0.049156950409432215,0.04389175485767771,0.04543432059853867,0.03495133700250723,-0.03279918943164612,-0.033048764919933256
2021-01-05,0.6864093951129648,0.0643243520483485,0.08838267193474358,0.06307753950196252,0.06263206836227349,0.04050530332009519,0.0497066140789771,0.03448305644782211,-0.04094597809954674,-0.04857502270764043
2021-01-06,0.6784008066519268,0.051775504682964366,0.08751968622140403,0.05194909148605688,0.0687809173254358,0.047496818704840515,0.05353565309108617,0.035667621756385784,-0.02108846313607056,-0.0540376367840298
2021-01-07,0.6900791959779564,0.07041380509645874,0.09580714322984228,0.05990300661479223,0.05506468772434244,0.04299636489452195,0.04949417908776195,0.038948940606660945,-0.048420073640439126,-0.05428724959189773
2021-01-08,0.7103800977862286,0.07065567729337902,0.08933948577471626,0.07131642751270613,0.05525818746578309,0.046970530461070956,0.04942707434814498,0.03477086175810918,-0.06250253296926662,-0.06561580943087157
2021-01-11,0.7035626987562409,0.06904726434051214,0.09437386744698022,0.055714591968027624,0.05867100505955356,0.04707481254964212,0.05238985043496782,0.03240469431829123,-0.051311043007589575,-0.06192774186662593
2021-01-12,0.6956855605693956,0.06653135112050845,0.09310354936489897,0.05574028213984057,0.058970855491501994,0.0457579047366109,0.045571515718718224,0.03499284378131946,-0.044354524541615,-0.05199933838117909
2021-01-13,0.6867625042483402,0.06844015823054171,0.0914933990621737,0.05741020812079579,0.05720135384355948,0.04577739636230456,0.045584793700928224,0.03424276074313537,-0.038043267687265465,-0.048869306624513574
2021-01-14,0.6916882308837868,0.06896472350950743,0.09147599027131798,0.05862153535261555,0.05803552983717221,0.045696325086214164,0.04727443756206774,0.03441370658306472,-0.043234367152348,-0.05293611193339862
2021-01-15,0.699308587250252,0.06728585798766884,0.08401908759015601,0.04987478471428599,0.061683011319794805,0.04519521468011482,0.05162655851933675,0.03730679508186322,-0.04665168950073717,-0.04964820764273533
2021-01-19,0.6762656747644856,0.07026516831673751,0.08937224033775519,0.05361445041622246,0.06035844414076021,0.04530316099615805,0.05096058031198225,0.03382267250335233,-0.03638989713086615,-0.04357249465658754
2021-01-20,0.6784417624477614,0.07092113287342686,0.0915434926551251,0.04701820467951729,0.0683699615950393,0.04559171375349498,0.04673913932153672,0.03261509363153894,-0.03090520462150401,-0.050335296335936544
2021-01-21,0.7050904230588927,0.07055718673771906,0.09427797560743402,0.05845377636777934,0.059583556717905765,0.04711378279705764,0.04723947066861087,0.03516395446581499,-0.05310040346661984,-0.0643797229545946
2021-01-22,0.6997177495470438,0.06783016509485329,0.09420470810471046,0.0608043216949243,0.05734730939346966,0.04416562426168478,0.048507376168523145,0.03526298548098276,-0.05014389976054817,-0.05769633998564406
2021-01-25,0.6974844729826789,0.06758153847836113,0.09294908805400709,0.05617200340863566,0.06239133274072167,0.04484337632733662,0.04925094382087203,0.03487802195557388,-0.048566424241962655,-0.05698435352622422
2021-01-26,0.6956357202437965,0.06368507466718898,0.10023454537541275,0.05106608932336182,0.056733906883666876,0.043746839952008267,0.03258490283054652,0.03435139414841484,-0.030210508541363777,-0.04782796488303271
2021-01-27,0.7315084164258868,0.08077336575240732,0.08364929172790768,0.08177900016535307,0.057816640576665405,0.03207634790104732,0.07662188456592423,0.03822963442211257,-0.12533831083648095,-0.05711627070082359
2021-01-28,0.6906832740930097,0.0745551240187124,0.09215728149537966,0.07400921653946506,0.0408503733466488,0.04144819086556628,0.05180270786764336,0.03459841041778739,-0.05908310073053342,-0.041021477913679216
2021-01-29,0.7135253978996126,0.05319222229546951,0.0814108212083529,0.07844649296913997,0.05507283760999151,0.05147620345418624,0.020978228143700484,0.03522153581767521,-0.04874235674715651,-0.040581382650971796
2021-02-01,0.6641751624513378,0.063032907077799,0.09646191732458541,0.07121257206500496,0.047475127516374865,0.0446316296858553,0.052115050578533585,0.035765368398644325,-0.032300811162575306,-0.04256892393556009
2021-02-02,0.7029373255628883,0.0732340693670995,0.09604162175103667,0.05374835042579274,0.05535374982157512,0.0433403185723851,0.0462180948022841,0.037369013713346506,-0.045575999558925995,-0.06266654445748224
