"Date","Open","High","Low","Close"
"Mon Aug 19 2024 15:20:00 GMT+0530 (India Standard Time)","161.00","161.00","159.00","159.00"
"Mon Aug 19 2024 15:25:00 GMT+0530 (India Standard Time)","159.00","159.00","159.00","159.00"
"Thu Aug 22 2024 12:00:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 12:05:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 12:10:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 12:15:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 12:20:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 12:25:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 12:30:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 12:35:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 12:40:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 12:45:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 12:50:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 12:55:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 13:00:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 13:05:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 13:10:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 13:15:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 13:20:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 13:25:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 13:30:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 13:35:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 13:40:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 13:45:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 13:50:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 13:55:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 14:00:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 14:05:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 14:10:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 14:15:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 14:20:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
"Thu Aug 22 2024 14:25:00 GMT+0530 (India Standard Time)","150.35","150.35","150.35","150.35"
