"Date","Open","High","Low","Close"
"Tue Aug 20 2024 12:35:00 GMT+0530 (India Standard Time)","104.90","104.90","104.90","104.90"
"Tue Aug 20 2024 12:40:00 GMT+0530 (India Standard Time)","104.90","104.90","104.90","104.90"
"Tue Aug 20 2024 12:45:00 GMT+0530 (India Standard Time)","104.90","104.90","104.90","104.90"
"Tue Aug 20 2024 12:50:00 GMT+0530 (India Standard Time)","104.90","104.90","104.90","104.90"
"Tue Aug 20 2024 12:55:00 GMT+0530 (India Standard Time)","104.90","104.90","104.90","104.90"
"Tue Aug 20 2024 13:00:00 GMT+0530 (India Standard Time)","104.90","104.90","104.90","104.90"
"Tue Aug 20 2024 13:05:00 GMT+0530 (India Standard Time)","104.90","104.90","101.00","101.00"
"Tue Aug 20 2024 13:10:00 GMT+0530 (India Standard Time)","101.00","101.00","101.00","101.00"
"Tue Aug 20 2024 13:15:00 GMT+0530 (India Standard Time)","101.00","101.00","101.00","101.00"
"Tue Aug 20 2024 13:20:00 GMT+0530 (India Standard Time)","101.00","101.00","101.00","101.00"
"Tue Aug 20 2024 13:25:00 GMT+0530 (India Standard Time)","101.00","101.00","101.00","101.00"
"Tue Aug 20 2024 13:30:00 GMT+0530 (India Standard Time)","101.00","101.00","101.00","101.00"
"Tue Aug 20 2024 13:35:00 GMT+0530 (India Standard Time)","101.00","101.00","101.00","101.00"
"Tue Aug 20 2024 13:40:00 GMT+0530 (India Standard Time)","101.00","101.00","101.00","101.00"
"Tue Aug 20 2024 13:45:00 GMT+0530 (India Standard Time)","101.00","101.00","101.00","101.00"
"Tue Aug 20 2024 13:50:00 GMT+0530 (India Standard Time)","101.00","101.00","101.00","101.00"
"Tue Aug 20 2024 13:55:00 GMT+0530 (India Standard Time)","101.00","101.00","101.00","101.00"
"Tue Aug 20 2024 14:00:00 GMT+0530 (India Standard Time)","101.00","104.00","101.00","104.00"
"Tue Aug 20 2024 14:05:00 GMT+0530 (India Standard Time)","104.00","104.00","104.00","104.00"
"Tue Aug 20 2024 14:10:00 GMT+0530 (India Standard Time)","104.00","104.00","104.00","104.00"
"Tue Aug 20 2024 14:15:00 GMT+0530 (India Standard Time)","104.00","104.00","104.00","104.00"
"Tue Aug 20 2024 14:20:00 GMT+0530 (India Standard Time)","104.00","104.00","104.00","104.00"
"Tue Aug 20 2024 14:25:00 GMT+0530 (India Standard Time)","104.00","104.00","104.00","104.00"
"Tue Aug 20 2024 14:30:00 GMT+0530 (India Standard Time)","104.00","104.00","104.00","104.00"
"Tue Aug 20 2024 14:35:00 GMT+0530 (India Standard Time)","104.00","104.00","104.00","104.00"
"Tue Aug 20 2024 14:40:00 GMT+0530 (India Standard Time)","104.00","104.00","104.00","104.00"
"Tue Aug 20 2024 14:45:00 GMT+0530 (India Standard Time)","104.00","106.60","104.00","106.60"
"Tue Aug 20 2024 14:50:00 GMT+0530 (India Standard Time)","106.60","106.60","106.60","106.60"
"Tue Aug 20 2024 14:55:00 GMT+0530 (India Standard Time)","106.60","106.60","106.60","106.60"
"Tue Aug 20 2024 15:00:00 GMT+0530 (India Standard Time)","106.60","106.60","106.60","106.60"
"Tue Aug 20 2024 15:05:00 GMT+0530 (India Standard Time)","106.60","106.60","106.60","106.60"
"Tue Aug 20 2024 15:10:00 GMT+0530 (India Standard Time)","106.60","106.60","106.60","106.60"
"Tue Aug 20 2024 15:15:00 GMT+0530 (India Standard Time)","106.60","106.60","106.60","106.60"
