"Date","Open","High","Low","Close"
"Fri Jun 28 2024 09:15:00 GMT+0530 (India Standard Time)","0.05","0.05","0.05","0.05"
"Mon Jul 01 2024 09:15:00 GMT+0530 (India Standard Time)","0.05","0.05","0.05","0.05"
"Tue Jul 02 2024 09:15:00 GMT+0530 (India Standard Time)","0.05","0.05","0.05","0.05"
"Wed Jul 03 2024 09:15:00 GMT+0530 (India Standard Time)","0.05","0.05","0.05","0.05"
"Mon Aug 19 2024 12:00:00 GMT+0530 (India Standard Time)","41.00","41.00","41.00","41.00"
"Mon Aug 19 2024 12:05:00 GMT+0530 (India Standard Time)","41.00","41.00","41.00","41.00"
"Mon Aug 19 2024 12:10:00 GMT+0530 (India Standard Time)","41.00","42.00","41.00","42.00"
"Mon Aug 19 2024 12:15:00 GMT+0530 (India Standard Time)","42.00","42.00","42.00","42.00"
"Mon Aug 19 2024 12:20:00 GMT+0530 (India Standard Time)","42.00","42.00","42.00","42.00"
"Mon Aug 19 2024 12:25:00 GMT+0530 (India Standard Time)","42.00","42.00","42.00","42.00"
"Mon Aug 19 2024 12:30:00 GMT+0530 (India Standard Time)","42.00","42.00","42.00","42.00"
"Mon Aug 19 2024 12:35:00 GMT+0530 (India Standard Time)","42.00","42.00","42.00","42.00"
"Mon Aug 19 2024 12:40:00 GMT+0530 (India Standard Time)","42.00","42.00","42.00","42.00"
"Mon Aug 19 2024 12:45:00 GMT+0530 (India Standard Time)","42.00","42.00","42.00","42.00"
"Mon Aug 19 2024 12:50:00 GMT+0530 (India Standard Time)","42.00","42.00","42.00","42.00"
"Mon Aug 19 2024 12:55:00 GMT+0530 (India Standard Time)","42.00","42.00","42.00","42.00"
"Mon Aug 19 2024 13:00:00 GMT+0530 (India Standard Time)","42.00","42.00","42.00","42.00"
"Mon Aug 19 2024 13:05:00 GMT+0530 (India Standard Time)","42.00","42.00","42.00","42.00"
"Mon Aug 19 2024 13:10:00 GMT+0530 (India Standard Time)","42.00","42.00","42.00","42.00"
"Mon Aug 19 2024 13:15:00 GMT+0530 (India Standard Time)","42.00","42.00","42.00","42.00"
"Mon Aug 19 2024 13:20:00 GMT+0530 (India Standard Time)","42.00","42.00","40.75","40.75"
"Mon Aug 19 2024 13:25:00 GMT+0530 (India Standard Time)","40.75","40.75","40.75","40.75"
"Mon Aug 19 2024 13:30:00 GMT+0530 (India Standard Time)","40.75","40.75","40.75","40.75"
"Mon Aug 19 2024 13:35:00 GMT+0530 (India Standard Time)","40.75","40.75","40.75","40.75"
"Mon Aug 19 2024 13:40:00 GMT+0530 (India Standard Time)","40.75","40.75","40.75","40.75"
"Mon Aug 19 2024 13:45:00 GMT+0530 (India Standard Time)","40.75","40.75","40.75","40.75"
"Mon Aug 19 2024 13:50:00 GMT+0530 (India Standard Time)","40.75","40.75","40.75","40.75"
"Mon Aug 19 2024 13:55:00 GMT+0530 (India Standard Time)","40.75","40.75","40.75","40.75"
"Mon Aug 19 2024 14:00:00 GMT+0530 (India Standard Time)","40.75","40.75","40.75","40.75"
"Mon Aug 19 2024 14:05:00 GMT+0530 (India Standard Time)","40.75","42.20","40.75","42.20"
"Mon Aug 19 2024 14:10:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 14:15:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 14:20:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 14:25:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 14:30:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 14:35:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 14:40:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 14:45:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 14:50:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 14:55:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 15:00:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 15:05:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 15:10:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 15:15:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 15:20:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 19 2024 15:25:00 GMT+0530 (India Standard Time)","42.20","42.20","42.20","42.20"
"Mon Aug 26 2024 10:50:00 GMT+0530 (India Standard Time)","36.65","36.65","27.95","27.95"
"Mon Aug 26 2024 10:55:00 GMT+0530 (India Standard Time)","27.95","28.10","27.65","28.10"
"Mon Aug 26 2024 11:00:00 GMT+0530 (India Standard Time)","28.10","28.10","28.00","28.10"
"Mon Aug 26 2024 11:05:00 GMT+0530 (India Standard Time)","28.10","28.30","28.10","28.30"
"Mon Aug 26 2024 11:10:00 GMT+0530 (India Standard Time)","28.30","28.30","28.20","28.20"
"Mon Aug 26 2024 11:15:00 GMT+0530 (India Standard Time)","28.20","28.20","28.20","28.20"
"Mon Aug 26 2024 11:20:00 GMT+0530 (India Standard Time)","28.20","28.20","28.20","28.20"
"Mon Aug 26 2024 11:25:00 GMT+0530 (India Standard Time)","28.20","28.90","28.20","28.90"
"Mon Aug 26 2024 11:30:00 GMT+0530 (India Standard Time)","28.90","28.90","28.40","28.40"
"Mon Aug 26 2024 11:35:00 GMT+0530 (India Standard Time)","28.40","28.40","27.05","27.05"
"Mon Aug 26 2024 11:40:00 GMT+0530 (India Standard Time)","27.05","27.25","27.05","27.25"
"Mon Aug 26 2024 11:45:00 GMT+0530 (India Standard Time)","27.25","27.25","27.25","27.25"
"Mon Aug 26 2024 11:50:00 GMT+0530 (India Standard Time)","27.25","27.25","27.25","27.25"
"Mon Aug 26 2024 11:55:00 GMT+0530 (India Standard Time)","27.25","27.25","27.10","27.10"
"Mon Aug 26 2024 12:00:00 GMT+0530 (India Standard Time)","27.10","27.10","26.50","27.00"
"Mon Aug 26 2024 12:05:00 GMT+0530 (India Standard Time)","27.00","27.00","26.50","26.50"
"Mon Aug 26 2024 12:10:00 GMT+0530 (India Standard Time)","26.50","26.70","26.50","26.70"
"Mon Aug 26 2024 12:15:00 GMT+0530 (India Standard Time)","26.70","26.70","26.70","26.70"
"Mon Aug 26 2024 12:20:00 GMT+0530 (India Standard Time)","26.70","26.70","26.70","26.70"
"Mon Aug 26 2024 12:25:00 GMT+0530 (India Standard Time)","26.70","26.70","26.50","26.50"
"Mon Aug 26 2024 12:30:00 GMT+0530 (India Standard Time)","26.50","26.50","26.40","26.40"
"Mon Aug 26 2024 12:35:00 GMT+0530 (India Standard Time)","26.40","26.40","26.05","26.05"
"Mon Aug 26 2024 12:40:00 GMT+0530 (India Standard Time)","26.05","26.50","26.05","26.50"
"Mon Aug 26 2024 12:45:00 GMT+0530 (India Standard Time)","26.50","27.00","26.50","26.65"
"Mon Aug 26 2024 12:50:00 GMT+0530 (India Standard Time)","26.65","26.85","26.65","26.85"
"Mon Aug 26 2024 12:55:00 GMT+0530 (India Standard Time)","26.85","26.85","26.85","26.85"
"Mon Aug 26 2024 13:00:00 GMT+0530 (India Standard Time)","26.85","26.85","26.85","26.85"
"Mon Aug 26 2024 13:05:00 GMT+0530 (India Standard Time)","26.85","26.85","26.85","26.85"
"Mon Aug 26 2024 13:10:00 GMT+0530 (India Standard Time)","26.85","26.85","26.85","26.85"
"Mon Aug 26 2024 13:15:00 GMT+0530 (India Standard Time)","26.85","26.85","26.85","26.85"
"Mon Aug 26 2024 13:20:00 GMT+0530 (India Standard Time)","26.85","26.85","26.85","26.85"
"Mon Aug 26 2024 13:25:00 GMT+0530 (India Standard Time)","26.85","27.60","26.85","27.60"
"Mon Aug 26 2024 13:30:00 GMT+0530 (India Standard Time)","27.60","27.60","27.60","27.60"
"Mon Aug 26 2024 13:35:00 GMT+0530 (India Standard Time)","27.60","27.60","27.60","27.60"
"Mon Aug 26 2024 13:40:00 GMT+0530 (India Standard Time)","27.60","27.60","27.60","27.60"
"Mon Aug 26 2024 13:45:00 GMT+0530 (India Standard Time)","27.60","28.45","27.60","28.45"
"Mon Aug 26 2024 13:50:00 GMT+0530 (India Standard Time)","28.45","28.45","28.40","28.40"
"Mon Aug 26 2024 13:55:00 GMT+0530 (India Standard Time)","28.40","28.40","27.95","27.95"
"Mon Aug 26 2024 14:00:00 GMT+0530 (India Standard Time)","27.95","28.20","27.95","28.20"
"Mon Aug 26 2024 14:05:00 GMT+0530 (India Standard Time)","28.20","28.20","28.20","28.20"
"Mon Aug 26 2024 14:10:00 GMT+0530 (India Standard Time)","28.20","29.20","28.20","29.20"
"Mon Aug 26 2024 14:15:00 GMT+0530 (India Standard Time)","29.20","29.20","27.75","27.75"
"Mon Aug 26 2024 14:20:00 GMT+0530 (India Standard Time)","27.75","27.75","27.75","27.75"
"Mon Aug 26 2024 14:25:00 GMT+0530 (India Standard Time)","27.75","27.75","27.75","27.75"
"Mon Aug 26 2024 14:30:00 GMT+0530 (India Standard Time)","27.75","27.80","27.75","27.80"
"Mon Aug 26 2024 14:35:00 GMT+0530 (India Standard Time)","27.80","28.15","27.80","28.15"
"Mon Aug 26 2024 14:40:00 GMT+0530 (India Standard Time)","28.15","28.15","28.15","28.15"
"Mon Aug 26 2024 14:45:00 GMT+0530 (India Standard Time)","28.15","28.15","28.15","28.15"
"Mon Aug 26 2024 14:50:00 GMT+0530 (India Standard Time)","28.15","28.15","28.15","28.15"
"Mon Aug 26 2024 14:55:00 GMT+0530 (India Standard Time)","28.15","28.15","28.00","28.00"
"Mon Aug 26 2024 15:00:00 GMT+0530 (India Standard Time)","28.00","28.00","28.00","28.00"
"Mon Aug 26 2024 15:05:00 GMT+0530 (India Standard Time)","28.00","28.00","28.00","28.00"
"Mon Aug 26 2024 15:10:00 GMT+0530 (India Standard Time)","28.00","30.85","28.00","30.85"
"Mon Aug 26 2024 15:15:00 GMT+0530 (India Standard Time)","30.85","30.85","30.10","30.10"
"Mon Aug 26 2024 15:20:00 GMT+0530 (India Standard Time)","30.10","30.10","29.55","29.85"
"Mon Aug 26 2024 15:25:00 GMT+0530 (India Standard Time)","29.85","30.00","29.85","29.90"
"Tue Aug 27 2024 09:35:00 GMT+0530 (India Standard Time)","32.00","32.00","30.90","31.20"
"Tue Aug 27 2024 09:40:00 GMT+0530 (India Standard Time)","31.20","31.20","31.10","31.10"
"Tue Aug 27 2024 09:45:00 GMT+0530 (India Standard Time)","31.10","31.10","31.05","31.05"
"Tue Aug 27 2024 09:50:00 GMT+0530 (India Standard Time)","31.05","31.05","29.50","29.80"
"Tue Aug 27 2024 09:55:00 GMT+0530 (India Standard Time)","29.80","30.70","29.80","30.25"
"Tue Aug 27 2024 10:00:00 GMT+0530 (India Standard Time)","31.15","31.70","31.15","31.70"
"Tue Aug 27 2024 10:05:00 GMT+0530 (India Standard Time)","31.70","32.10","31.55","31.65"
