"Date","Open","High","Low","Close"
"Thu Aug 22 2024 09:50:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 09:55:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 10:00:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 10:05:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 10:10:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 10:15:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 10:20:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 10:25:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 10:30:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 10:35:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 10:40:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 10:45:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 10:50:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 10:55:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 11:00:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 11:05:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 11:10:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 11:15:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 11:20:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 11:25:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 11:30:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 11:35:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 11:40:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 11:45:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 11:50:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 11:55:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 12:00:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 12:05:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 12:10:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 12:15:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 12:20:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 12:25:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 12:30:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 12:35:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 12:40:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 12:45:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 12:50:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 12:55:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 13:00:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 13:05:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 13:10:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 13:15:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 13:20:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 13:25:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 13:30:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 13:35:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 13:45:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 13:50:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 13:55:00 GMT+0530 (India Standard Time)","138.05","138.05","138.05","138.05"
"Thu Aug 22 2024 14:00:00 GMT+0530 (India Standard Time)","138.05","138.05","130.00","130.00"
"Thu Aug 22 2024 14:05:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 14:10:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 14:15:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 14:20:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 14:25:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 14:30:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 14:35:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 14:40:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 14:45:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 14:50:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 14:55:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 15:00:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 15:05:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 15:10:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 15:15:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 15:20:00 GMT+0530 (India Standard Time)","130.00","130.00","130.00","130.00"
"Thu Aug 22 2024 15:25:00 GMT+0530 (India Standard Time)","130.35","130.35","130.35","130.35"
"Mon Aug 26 2024 10:15:00 GMT+0530 (India Standard Time)","114.75","114.75","113.55","113.55"
"Mon Aug 26 2024 10:20:00 GMT+0530 (India Standard Time)","113.55","113.55","113.55","113.55"
"Mon Aug 26 2024 10:25:00 GMT+0530 (India Standard Time)","113.55","113.55","113.55","113.55"
"Mon Aug 26 2024 10:30:00 GMT+0530 (India Standard Time)","113.55","113.55","113.55","113.55"
"Mon Aug 26 2024 10:35:00 GMT+0530 (India Standard Time)","113.55","113.55","113.55","113.55"
"Mon Aug 26 2024 10:40:00 GMT+0530 (India Standard Time)","113.55","113.55","109.55","109.55"
"Mon Aug 26 2024 10:45:00 GMT+0530 (India Standard Time)","109.55","109.55","109.55","109.55"
"Mon Aug 26 2024 10:50:00 GMT+0530 (India Standard Time)","109.55","109.55","109.55","109.55"
"Mon Aug 26 2024 10:55:00 GMT+0530 (India Standard Time)","109.55","109.55","109.55","109.55"
"Mon Aug 26 2024 11:00:00 GMT+0530 (India Standard Time)","109.55","109.55","109.55","109.55"
"Mon Aug 26 2024 11:05:00 GMT+0530 (India Standard Time)","109.55","109.55","109.55","109.55"
"Mon Aug 26 2024 11:10:00 GMT+0530 (India Standard Time)","109.55","109.55","109.55","109.55"
"Mon Aug 26 2024 11:15:00 GMT+0530 (India Standard Time)","109.55","109.55","109.55","109.55"
"Mon Aug 26 2024 11:20:00 GMT+0530 (India Standard Time)","109.55","109.55","109.55","109.55"
"Mon Aug 26 2024 11:25:00 GMT+0530 (India Standard Time)","109.55","109.55","109.55","109.55"
"Mon Aug 26 2024 11:30:00 GMT+0530 (India Standard Time)","109.55","114.75","109.55","114.75"
"Mon Aug 26 2024 11:35:00 GMT+0530 (India Standard Time)","114.75","114.75","108.60","108.60"
"Mon Aug 26 2024 11:40:00 GMT+0530 (India Standard Time)","108.60","110.20","108.60","110.20"
"Mon Aug 26 2024 11:45:00 GMT+0530 (India Standard Time)","110.20","110.20","110.20","110.20"
"Mon Aug 26 2024 11:50:00 GMT+0530 (India Standard Time)","110.20","110.20","110.20","110.20"
"Mon Aug 26 2024 11:55:00 GMT+0530 (India Standard Time)","110.20","110.20","110.00","110.00"
"Mon Aug 26 2024 12:00:00 GMT+0530 (India Standard Time)","110.00","110.00","108.25","109.00"
"Mon Aug 26 2024 12:05:00 GMT+0530 (India Standard Time)","109.00","109.00","106.05","106.05"
"Mon Aug 26 2024 12:10:00 GMT+0530 (India Standard Time)","106.05","106.05","106.05","106.05"
"Mon Aug 26 2024 12:15:00 GMT+0530 (India Standard Time)","106.05","106.05","106.05","106.05"
"Mon Aug 26 2024 12:20:00 GMT+0530 (India Standard Time)","106.05","106.05","105.95","105.95"
"Mon Aug 26 2024 12:25:00 GMT+0530 (India Standard Time)","105.95","105.95","105.95","105.95"
"Mon Aug 26 2024 12:30:00 GMT+0530 (India Standard Time)","105.95","108.30","105.95","108.30"
"Mon Aug 26 2024 12:35:00 GMT+0530 (India Standard Time)","108.30","108.30","107.50","107.50"
"Mon Aug 26 2024 12:40:00 GMT+0530 (India Standard Time)","107.50","107.50","107.50","107.50"
"Mon Aug 26 2024 12:45:00 GMT+0530 (India Standard Time)","107.50","110.30","107.50","110.30"
"Mon Aug 26 2024 12:50:00 GMT+0530 (India Standard Time)","110.30","110.30","110.30","110.30"
