"Date","Open","High","Low","Close"
"Fri Aug 16 2024 13:45:00 GMT+0530 (India Standard Time)","103.40","103.40","103.40","103.40"
"Fri Aug 16 2024 13:50:00 GMT+0530 (India Standard Time)","103.40","103.40","103.40","103.40"
"Fri Aug 16 2024 13:55:00 GMT+0530 (India Standard Time)","103.40","103.40","103.40","103.40"
"Fri Aug 16 2024 14:00:00 GMT+0530 (India Standard Time)","103.40","103.40","101.50","101.50"
"Fri Aug 16 2024 14:05:00 GMT+0530 (India Standard Time)","101.50","103.00","101.50","103.00"
"Fri Aug 16 2024 14:10:00 GMT+0530 (India Standard Time)","103.00","106.00","103.00","106.00"
"Fri Aug 16 2024 14:15:00 GMT+0530 (India Standard Time)","106.00","106.00","106.00","106.00"
"Fri Aug 16 2024 14:20:00 GMT+0530 (India Standard Time)","106.00","106.00","106.00","106.00"
"Fri Aug 16 2024 14:25:00 GMT+0530 (India Standard Time)","106.00","106.00","106.00","106.00"
"Fri Aug 16 2024 14:30:00 GMT+0530 (India Standard Time)","106.00","106.00","106.00","106.00"
"Fri Aug 16 2024 14:35:00 GMT+0530 (India Standard Time)","106.00","106.00","106.00","106.00"
"Fri Aug 16 2024 14:40:00 GMT+0530 (India Standard Time)","106.00","106.00","106.00","106.00"
"Fri Aug 16 2024 14:45:00 GMT+0530 (India Standard Time)","106.00","106.00","102.45","102.45"
"Fri Aug 16 2024 14:50:00 GMT+0530 (India Standard Time)","102.45","102.45","101.80","101.80"
"Fri Aug 16 2024 14:55:00 GMT+0530 (India Standard Time)","101.80","101.80","101.80","101.80"
"Fri Aug 16 2024 15:00:00 GMT+0530 (India Standard Time)","101.80","101.80","101.80","101.80"
"Fri Aug 16 2024 15:05:00 GMT+0530 (India Standard Time)","101.80","106.25","101.80","106.10"
"Fri Aug 16 2024 15:10:00 GMT+0530 (India Standard Time)","106.10","106.95","105.50","105.50"
"Fri Aug 16 2024 15:15:00 GMT+0530 (India Standard Time)","105.50","105.80","105.10","105.10"
"Fri Aug 16 2024 15:20:00 GMT+0530 (India Standard Time)","105.10","105.10","105.10","105.10"
"Fri Aug 16 2024 15:25:00 GMT+0530 (India Standard Time)","105.10","106.95","105.10","106.95"
"Mon Aug 19 2024 09:15:00 GMT+0530 (India Standard Time)","117.00","117.00","117.00","117.00"
"Mon Aug 19 2024 09:20:00 GMT+0530 (India Standard Time)","117.00","120.80","116.45","120.00"
"Mon Aug 19 2024 09:25:00 GMT+0530 (India Standard Time)","120.00","125.00","120.00","124.30"
"Mon Aug 19 2024 09:30:00 GMT+0530 (India Standard Time)","124.30","125.50","124.00","125.50"
"Mon Aug 19 2024 09:35:00 GMT+0530 (India Standard Time)","125.50","125.50","122.75","124.50"
"Mon Aug 19 2024 09:40:00 GMT+0530 (India Standard Time)","125.60","130.20","125.50","129.20"
"Mon Aug 19 2024 09:45:00 GMT+0530 (India Standard Time)","129.20","129.95","127.60","128.00"
"Mon Aug 19 2024 09:50:00 GMT+0530 (India Standard Time)","128.00","128.00","123.95","123.95"
"Mon Aug 19 2024 09:55:00 GMT+0530 (India Standard Time)","123.95","130.60","123.95","129.65"
"Mon Aug 19 2024 10:00:00 GMT+0530 (India Standard Time)","129.65","131.50","129.00","131.50"
"Mon Aug 19 2024 10:05:00 GMT+0530 (India Standard Time)","131.50","131.50","131.50","131.50"
"Mon Aug 19 2024 10:10:00 GMT+0530 (India Standard Time)","131.50","131.50","131.50","131.50"
"Mon Aug 19 2024 10:15:00 GMT+0530 (India Standard Time)","131.50","132.00","131.50","131.60"
"Mon Aug 19 2024 10:20:00 GMT+0530 (India Standard Time)","131.00","131.00","130.85","130.85"
"Mon Aug 19 2024 10:25:00 GMT+0530 (India Standard Time)","130.85","130.85","130.85","130.85"
"Mon Aug 19 2024 10:30:00 GMT+0530 (India Standard Time)","130.85","130.85","130.85","130.85"
"Mon Aug 19 2024 10:35:00 GMT+0530 (India Standard Time)","130.85","130.85","130.45","130.45"
"Mon Aug 19 2024 10:40:00 GMT+0530 (India Standard Time)","130.45","130.45","130.45","130.45"
"Mon Aug 19 2024 10:45:00 GMT+0530 (India Standard Time)","130.45","130.45","125.50","125.50"
"Mon Aug 19 2024 10:50:00 GMT+0530 (India Standard Time)","125.50","125.50","125.50","125.50"
"Mon Aug 19 2024 10:55:00 GMT+0530 (India Standard Time)","125.50","127.05","125.50","127.05"
"Mon Aug 19 2024 11:00:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 11:05:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 11:10:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 11:15:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 11:20:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 11:25:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 11:30:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 11:35:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 11:40:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 11:45:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 11:50:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 11:55:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 12:00:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 12:05:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 12:10:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 12:15:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 12:20:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 12:25:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 12:30:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 12:35:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 12:40:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 12:45:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 12:50:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 12:55:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 13:00:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 13:05:00 GMT+0530 (India Standard Time)","127.05","127.05","127.05","127.05"
"Mon Aug 19 2024 13:10:00 GMT+0530 (India Standard Time)","127.05","127.05","123.00","123.00"
"Mon Aug 19 2024 13:15:00 GMT+0530 (India Standard Time)","123.00","123.00","123.00","123.00"
"Mon Aug 19 2024 13:20:00 GMT+0530 (India Standard Time)","123.00","123.00","123.00","123.00"
"Mon Aug 19 2024 13:25:00 GMT+0530 (India Standard Time)","123.00","123.00","123.00","123.00"
"Mon Aug 19 2024 13:30:00 GMT+0530 (India Standard Time)","123.00","123.00","123.00","123.00"
"Mon Aug 19 2024 13:35:00 GMT+0530 (India Standard Time)","123.00","123.00","123.00","123.00"
"Mon Aug 19 2024 13:40:00 GMT+0530 (India Standard Time)","123.00","123.00","123.00","123.00"
"Mon Aug 19 2024 13:45:00 GMT+0530 (India Standard Time)","123.00","123.00","120.90","120.90"
"Mon Aug 19 2024 13:50:00 GMT+0530 (India Standard Time)","120.90","120.90","120.90","120.90"
"Mon Aug 19 2024 13:55:00 GMT+0530 (India Standard Time)","120.90","120.90","120.90","120.90"
"Mon Aug 19 2024 14:00:00 GMT+0530 (India Standard Time)","120.90","120.90","120.90","120.90"
"Mon Aug 19 2024 14:05:00 GMT+0530 (India Standard Time)","120.90","120.90","120.90","120.90"
"Mon Aug 19 2024 14:10:00 GMT+0530 (India Standard Time)","120.90","120.90","120.90","120.90"
"Mon Aug 19 2024 14:15:00 GMT+0530 (India Standard Time)","120.90","120.90","120.00","120.00"
"Mon Aug 19 2024 14:20:00 GMT+0530 (India Standard Time)","120.00","120.00","120.00","120.00"
"Mon Aug 19 2024 14:25:00 GMT+0530 (India Standard Time)","120.00","120.00","117.95","117.95"
"Mon Aug 19 2024 14:30:00 GMT+0530 (India Standard Time)","117.95","117.95","117.95","117.95"
"Mon Aug 19 2024 14:35:00 GMT+0530 (India Standard Time)","117.95","117.95","117.95","117.95"
"Mon Aug 19 2024 14:40:00 GMT+0530 (India Standard Time)","117.95","117.95","117.95","117.95"
